filename,ppv,n_sequences,T_step,T_low,T_high,tau
telegraph_msa_phylo_70000_0_0.5_0.5_300_couplings.jld,0.424,70000,0,0.5,0.5,0
telegraph_msa_phylo_70000_10_0.5_0.5_300_couplings.jld,0.416,70000,10,0.5,0.5,0
telegraph_msa_phylo_70000_20_0.5_0.5_300_couplings.jld,0.42,70000,20,0.5,0.5,0
telegraph_msa_phylo_70000_30_0.5_0.5_300_couplings.jld,0.42,70000,30,0.5,0.5,0
telegraph_msa_phylo_70000_40_0.5_0.5_300_couplings.jld,0.42,70000,40,0.5,0.5,0
telegraph_msa_phylo_70000_50_0.5_0.5_300_couplings.jld,0.42,70000,50,0.5,0.5,0
telegraph_msa_phylo_70000_60_0.5_0.5_300_couplings.jld,0.42,70000,60,0.5,0.5,0
telegraph_msa_phylo_70000_70_0.5_0.5_300_couplings.jld,0.424,70000,70,0.5,0.5,0
telegraph_msa_phylo_70000_80_0.5_0.5_300_couplings.jld,0.416,70000,80,0.5,0.5,0
telegraph_msa_phylo_70000_90_0.5_0.5_300_couplings.jld,0.428,70000,90,0.5,0.5,0
telegraph_msa_phylo_70000_100_0.5_0.5_300_couplings.jld,0.404,70000,100,0.5,0.5,0
telegraph_msa_phylo_70000_110_0.5_0.5_300_couplings.jld,0.424,70000,110,0.5,0.5,0
telegraph_msa_phylo_70000_130_0.5_0.5_300_couplings.jld,0.424,70000,130,0.5,0.5,0
telegraph_msa_phylo_70000_140_0.5_0.5_300_couplings.jld,0.42,70000,140,0.5,0.5,0
telegraph_msa_phylo_70000_150_0.5_0.5_300_couplings.jld,0.412,70000,150,0.5,0.5,0
telegraph_msa_phylo_70000_160_0.5_0.5_300_couplings.jld,0.412,70000,160,0.5,0.5,0
telegraph_msa_phylo_70000_170_0.5_0.5_300_couplings.jld,0.412,70000,170,0.5,0.5,0
telegraph_msa_phylo_70000_180_0.5_0.5_300_couplings.jld,0.42,70000,180,0.5,0.5,0
telegraph_msa_phylo_70000_190_0.5_0.5_300_couplings.jld,0.416,70000,190,0.5,0.5,0
telegraph_msa_phylo_70000_200_0.5_0.5_300_couplings.jld,0.432,70000,200,0.5,0.5,0
telegraph_msa_phylo_70000_210_0.5_0.5_300_couplings.jld,0.42,70000,210,0.5,0.5,0
telegraph_msa_phylo_70000_220_0.5_0.5_300_couplings.jld,0.42,70000,220,0.5,0.5,0
telegraph_msa_phylo_70000_230_0.5_0.5_300_couplings.jld,0.424,70000,230,0.5,0.5,0
telegraph_msa_phylo_70000_240_0.5_0.5_300_couplings.jld,0.412,70000,240,0.5,0.5,0
telegraph_msa_phylo_70000_250_0.5_0.5_300_couplings.jld,0.424,70000,250,0.5,0.5,0
telegraph_msa_phylo_70000_260_0.5_0.5_300_couplings.jld,0.416,70000,260,0.5,0.5,0
telegraph_msa_phylo_70000_270_0.5_0.5_300_couplings.jld,0.42,70000,270,0.5,0.5,0
telegraph_msa_phylo_70000_280_0.5_0.5_300_couplings.jld,0.412,70000,280,0.5,0.5,0
telegraph_msa_phylo_70000_300_0.5_0.5_300_couplings.jld,0.408,70000,300,0.5,0.5,0
telegraph_msa_phylo_70000_310_0.5_0.5_300_couplings.jld,0.42,70000,310,0.5,0.5,0
telegraph_msa_phylo_70000_320_0.5_0.5_300_couplings.jld,0.416,70000,320,0.5,0.5,0
telegraph_msa_phylo_70000_330_0.5_0.5_300_couplings.jld,0.408,70000,330,0.5,0.5,0
telegraph_msa_phylo_70000_340_0.5_0.5_300_couplings.jld,0.424,70000,340,0.5,0.5,0
telegraph_msa_phylo_70000_350_0.5_0.5_300_couplings.jld,0.428,70000,350,0.5,0.5,0
telegraph_msa_phylo_70000_360_0.5_0.5_300_couplings.jld,0.408,70000,360,0.5,0.5,0
telegraph_msa_phylo_70000_370_0.5_0.5_300_couplings.jld,0.416,70000,370,0.5,0.5,0
telegraph_msa_phylo_70000_380_0.5_0.5_300_couplings.jld,0.404,70000,380,0.5,0.5,0
telegraph_msa_phylo_70000_390_0.5_0.5_300_couplings.jld,0.396,70000,390,0.5,0.5,0
telegraph_msa_phylo_70000_400_0.5_0.5_300_couplings.jld,0.424,70000,400,0.5,0.5,0
telegraph_msa_phylo_70000_410_0.5_0.5_300_couplings.jld,0.42,70000,410,0.5,0.5,0
telegraph_msa_phylo_70000_420_0.5_0.5_300_couplings.jld,0.428,70000,420,0.5,0.5,0
telegraph_msa_phylo_70000_430_0.5_0.5_300_couplings.jld,0.424,70000,430,0.5,0.5,0
telegraph_msa_phylo_70000_440_0.5_0.5_300_couplings.jld,0.416,70000,440,0.5,0.5,0
telegraph_msa_phylo_70000_450_0.5_0.5_300_couplings.jld,0.416,70000,450,0.5,0.5,0
telegraph_msa_phylo_70000_460_0.5_0.5_300_couplings.jld,0.416,70000,460,0.5,0.5,0
telegraph_msa_phylo_70000_470_0.5_0.5_300_couplings.jld,0.416,70000,470,0.5,0.5,0
telegraph_msa_phylo_70000_480_0.5_0.5_300_couplings.jld,0.416,70000,480,0.5,0.5,0
telegraph_msa_phylo_70000_490_0.5_0.5_300_couplings.jld,0.424,70000,490,0.5,0.5,0
telegraph_msa_phylo_70000_500_0.5_0.5_300_couplings.jld,0.432,70000,500,0.5,0.5,0
telegraph_msa_phylo_70000_510_0.5_0.5_300_couplings.jld,0.42,70000,510,0.5,0.5,0
telegraph_msa_phylo_70000_530_0.5_0.5_300_couplings.jld,0.42,70000,530,0.5,0.5,0
telegraph_msa_phylo_70000_540_0.5_0.5_300_couplings.jld,0.416,70000,540,0.5,0.5,0
telegraph_msa_phylo_70000_550_0.5_0.5_300_couplings.jld,0.404,70000,550,0.5,0.5,0
telegraph_msa_phylo_70000_560_0.5_0.5_300_couplings.jld,0.404,70000,560,0.5,0.5,0
telegraph_msa_phylo_70000_570_0.5_0.5_300_couplings.jld,0.412,70000,570,0.5,0.5,0
telegraph_msa_phylo_70000_580_0.5_0.5_300_couplings.jld,0.412,70000,580,0.5,0.5,0
telegraph_msa_phylo_70000_590_0.5_0.5_300_couplings.jld,0.428,70000,590,0.5,0.5,0
